task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 75 lambda-1024 1383 8438 7055 1615755235059 1615755239808 4749 102 4556 91 lambda-1024
ellipsoids-openmp 73 lambda-1024 1383 8444 7061 1615755235055 1615755239812 4757 98 4565 94 lambda-1024
ellipsoids-openmp 8 lambda-1024 1385 8493 7108 1615755235226 1615755239850 4624 100 4428 96 lambda-1024
ellipsoids-openmp 81 lambda-1024 1385 8549 7164 1615755235230 1615755239861 4631 100 4428 103 lambda-1024
ellipsoids-openmp 85 lambda-1024 1386 8582 7196 1615755235259 1615755239886 4627 91 4438 98 lambda-1024
ellipsoids-openmp 91 lambda-1024 1388 8605 7217 1615755235386 1615755239903 4517 84 4346 87 lambda-1024
ellipsoids-openmp 88 lambda-1024 1387 8664 7277 1615755235291 1615755239931 4640 95 4446 99 lambda-1024
ellipsoids-openmp 326 lambda-1024 1515 8673 7158 1615755236019 1615755239965 3946 97 3741 108 lambda-1024
ellipsoids-openmp 87 lambda-1024 1387 8717 7330 1615755235388 1615755240000 4612 94 4418 100 lambda-1024
ellipsoids-openmp 86 lambda-1024 1387 8722 7335 1615755235354 1615755240005 4651 101 4431 119 lambda-1024
ellipsoids-openmp 92 lambda-1024 1388 8724 7336 1615755235379 1615755240006 4627 101 4411 115 lambda-1024
ellipsoids-openmp 94 lambda-1024 1388 8729 7341 1615755235496 1615755240038 4542 101 4348 93 lambda-1024
ellipsoids-openmp 90 lambda-1024 1388 8757 7369 1615755235376 1615755240041 4665 96 4452 117 lambda-1024
ellipsoids-openmp 330 lambda-1024 1517 8772 7255 1615755236191 1615755240093 3902 94 3709 99 lambda-1024
ellipsoids-openmp 93 lambda-1024 1388 8774 7386 1615755235469 1615755240083 4614 94 4408 112 lambda-1024
ellipsoids-openmp 309 lambda-1024 1509 8789 7280 1615755235669 1615755240103 4434 98 4234 102 lambda-1024
ellipsoids-openmp 333 lambda-1024 1518 8792 7274 1615755236266 1615755240121 3855 93 3666 96 lambda-1024
ellipsoids-openmp 315 lambda-1024 1510 8799 7289 1615755235748 1615755240126 4378 84 4187 107 lambda-1024
ellipsoids-openmp 327 lambda-1024 1516 8803 7287 1615755236032 1615755240136 4104 94 3945 65 lambda-1024
ellipsoids-openmp 99 lambda-1024 1389 8864 7475 1615755235581 1615755240146 4565 99 4382 84 lambda-1024
ellipsoids-openmp 310 lambda-1024 1509 8867 7358 1615755235714 1615755240152 4438 101 4261 76 lambda-1024
ellipsoids-openmp 314 lambda-1024 1510 8901 7391 1615755235774 1615755240211 4437 94 4253 90 lambda-1024
ellipsoids-openmp 331 lambda-1024 1517 8904 7387 1615755236241 1615755240217 3976 100 3786 90 lambda-1024
ellipsoids-openmp 339 lambda-1024 1519 8907 7388 1615755236389 1615755240218 3829 96 3651 82 lambda-1024
ellipsoids-openmp 344 lambda-1024 1520 8981 7461 1615755236473 1615755240289 3816 84 3647 85 lambda-1024
ellipsoids-openmp 338 lambda-1024 1519 8999 7480 1615755236340 1615755240337 3997 94 3798 105 lambda-1024
ellipsoids-openmp 337 lambda-1024 1519 9004 7485 1615755236360 1615755240354 3994 97 3804 93 lambda-1024
