task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 242 lambda-128 12588 48253 35665 1615931679108 1615931711167 32059 740 31020 299 lambda-128
ellipsoids-openmp 184 lambda-128 12992 48257 35265 1615931679474 1615931710731 31257 779 30200 278 lambda-128
ellipsoids-openmp 307 lambda-128 12723 48261 35538 1615931679103 1615931712563 33460 740 32380 340 lambda-128
ellipsoids-openmp 394 lambda-128 12829 48264 35435 1615931679392 1615931712543 33151 740 32100 311 lambda-128
ellipsoids-openmp 227 lambda-128 12559 48265 35706 1615931678299 1615931708492 30193 109 29881 203 lambda-128
ellipsoids-openmp 36 lambda-128 13082 48268 35186 1615931679564 1615931711906 32342 760 31320 262 lambda-128
ellipsoids-openmp 189 lambda-128 12998 48276 35278 1615931679512 1615931711483 31971 782 30900 289 lambda-128
ellipsoids-openmp 122 lambda-128 12933 48287 35354 1615931679411 1615931711633 32222 740 31302 180 lambda-128
ellipsoids-openmp 27 lambda-128 13073 48287 35214 1615931679458 1615931710657 31199 758 30182 259 lambda-128
ellipsoids-openmp 22 lambda-128 13070 48290 35220 1615931679502 1615931712062 32560 779 31519 262 lambda-128
ellipsoids-openmp 32 lambda-128 13077 48303 35226 1615931679448 1615931711108 31660 760 30580 320 lambda-128
ellipsoids-openmp 308 lambda-128 12724 48318 35594 1615931679070 1615931710291 31221 761 30200 260 lambda-128
ellipsoids-openmp 386 lambda-128 12822 48320 35498 1615931679300 1615931711401 32101 740 31141 220 lambda-128
ellipsoids-openmp 41 lambda-128 13086 48324 35238 1615931679526 1615931711986 32460 759 31380 321 lambda-128
ellipsoids-openmp 19 lambda-128 13067 48326 35259 1615931679644 1615931712223 32579 819 31460 300 lambda-128
ellipsoids-openmp 119 lambda-128 12929 48329 35400 1615931679361 1615931711752 32391 760 31360 271 lambda-128
ellipsoids-openmp 37 lambda-128 13083 48332 35249 1615931679580 1615931711033 31453 680 30540 233 lambda-128
ellipsoids-openmp 43 lambda-128 13087 48351 35264 1615931679486 1615931711504 32018 778 30980 260 lambda-128
ellipsoids-openmp 395 lambda-128 12829 48354 35525 1615931679380 1615931710764 31384 760 30341 283 lambda-128
ellipsoids-openmp 34 lambda-128 13079 48354 35275 1615931679519 1615931711462 31943 740 30940 263 lambda-128
