task id resource fire_time start_time end_time time execution_time upload_time cpu memory
mProject 118 fargate 122019 174924 200499 25575 197 25115 259 05 2
mProject 3333 fargate 122008 175905 202019 26114 211 25677 222 05 2
mProject 3458 fargate 122292 175765 201825 26060 222 25590 243 05 2
mProject 3427 fargate 122027 176371 202337 25966 226 25489 247 05 2
mDiffFit 280 fargate 151759 205000 205751 751 691 14 42 05 2
mDiffFit 277 fargate 152580 205691 206447 756 696 13 43 05 2
mProject 1785 fargate 132274 185909 205333 19424 180 19015 223 05 2
mProject 1727 fargate 121893 175468 201633 26165 207 25687 267 05 2
mProject 1772 fargate 131753 184880 211196 26316 217 25865 229 05 2
mProject 135 fargate 132439 185919 212119 26200 199 25798 199 05 2
mDiffFit 3003 fargate 162600 217439 218261 822 698 13 44 05 2
mProject 1864 fargate 141686 190227 216413 26186 195 25725 260 05 2
mProject 3323 fargate 131681 192466 218123 25657 196 25222 236 05 2
mProject 3293 fargate 142298 191215 216749 25534 168 25122 240 05 2
mProject 1680 fargate 132022 185908 211712 25804 185 25387 228 05 2
mProject 3400 fargate 132514 186443 212309 25866 188 25439 234 05 2
mDiffFit 346 fargate 161714 215060 215798 738 680 13 42 05 2
mProject 1694 fargate 151704 195005 221299 26294 185 25898 207 05 2
mProject 223 fargate 152143 204817 219498 14681 219 14298 159 05 2
mProject 66 fargate 141756 194867 220953 26086 199 25616 267 05 2
mProject 1788 fargate 142099 195645 221345 25700 192 25292 213 05 2
mProject 177 fargate 142168 195815 222181 26366 190 25923 249 05 2
mProject 3449 fargate 142271 195911 221700 25789 194 25337 255 05 2
mProject 168 fargate 142033 195852 221428 25576 162 25144 266 05 2
mProject 3334 fargate 142552 195772 221860 26088 191 25642 251 05 2
mDiffFit 4584 fargate 172506 225278 226094 816 692 12 40 05 2
mDiffFit 2827 fargate 172703 226454 227122 668 585 12 66 05 2
mProject 34 fargate 152033 200953 226784 25831 189 25401 236 05 2
mProject 3440 fargate 152188 205561 225085 19524 202 19113 205 05 2
mProject 3320 fargate 152312 205530 226398 20868 205 20423 234 05 2
mProject 218 fargate 152421 204822 225571 20749 116 20415 213 05 2
mProject 3439 fargate 152185 205309 231261 25952 225 25479 244 05 2
mProject 229 fargate 152475 207862 233696 25834 206 25296 328 05 2
mDiffFit 1393 fargate 182729 236896 237551 655 596 14 41 05 2
mDiffFit 4409 fargate 182527 235841 236554 713 605 12 93 05 2
mProject 179 fargate 162424 215465 236726 21261 197 20816 245 05 2
mProject 232 fargate 171795 224856 239319 14463 205 14095 158 05 2
mProject 1630 fargate 161831 216285 242652 26367 194 25916 252 05 2
mProject 1719 fargate 162191 211086 237793 26707 256 26220 226 05 2
mProject 1869 fargate 162167 215951 242422 26471 189 26025 252 05 2
mProject 1676 fargate 162056 215252 241523 26271 245 25754 267 05 2
mProject 230 fargate 162410 217837 243496 25659 201 25206 248 05 2
mProject 1720 fargate 162195 216015 242237 26222 234 25762 221 05 2
mProject 3472 fargate 162500 215279 241495 26216 146 25772 238 05 2
mProject 1733 fargate 171825 220505 246447 25942 207 25493 238 05 2
mProject 220 fargate 172232 221353 247324 25971 203 25522 240 05 2
mProject 121 fargate 172435 222260 248118 25858 195 25414 246 05 2
mProject 1768 fargate 172411 226307 247784 21477 152 20993 271 05 2
mProject 3345 fargate 172239 225583 246768 21185 183 20752 246 05 2
mDiffFit 1275 fargate 192154 246557 247293 736 679 14 39 05 2
mProject 3441 fargate 172088 225776 252055 26279 196 25830 249 05 2
mProject 3456 fargate 172181 225820 251800 25980 182 25539 254 05 2
