mProject 224 fargate 37010 80368 93314 12946 139 12619 185 2 4
mProject 226 fargate 37023 80048 93065 13017 124 12710 179 2 4
mProject 439 fargate 38184 81828 94613 12785 145 12418 218 2 4
mProject 441 fargate 38360 81848 95015 13167 168 12714 281 2 4
mProject 442 fargate 38760 81531 94501 12970 157 12646 164 2 4
mProject 422 fargate 39238 81305 94201 12896 124 12593 176 2 4
mProject 220 fargate 39935 82992 95830 12838 125 12523 185 2 4
mProject 219 fargate 39934 85898 98836 12938 223 12519 192 2 4
mProject 229 fargate 50954 87458 100617 13159 129 12848 179 2 4
mProject 416 fargate 47160 90160 103392 13232 153 12854 221 2 4
mProject 414 fargate 47156 89853 102902 13049 160 12655 230 2 4
mProject 415 fargate 47158 91537 104539 13002 152 12669 178 2 4
mProject 421 fargate 48312 91274 103943 12669 147 12349 169 2 4
mProject 438 fargate 48765 91503 104386 12883 180 12477 222 2 4
mProject 440 fargate 38358 90709 103726 13017 140 12686 187 2 4
mProject 21 fargate 49539 92631 105684 13053 200 12682 167 2 4
mProject 228 fargate 50950 94352 107310 12958 166 12526 263 2 4
mProject 227 fargate 50946 94102 107214 13112 161 12751 195 2 4
mProject 230 fargate 50958 94148 107119 12971 156 12585 227 2 4
mProject 25 fargate 63129 100597 113409 12812 128 12479 201 2 4
mProject 231 fargate 59482 102845 115841 12996 120 12692 181 2 4
mProject 26 fargate 63135 106506 119512 13006 164 12678 160 2 4
mProject 24 fargate 63122 105666 118427 12761 130 12422 205 2 4
mProject 29 fargate 63159 105829 118861 13032 130 12694 205 2 4
mProject 27 fargate 63149 106394 119430 13036 140 12693 200 2 4
mProject 30 fargate 63164 105963 118807 12844 119 12530 191 2 4
mProject 28 fargate 63155 106864 120025 13161 175 12770 213 2 4
mProject 207 fargate 63168 107799 120615 12816 144 12489 178 2 4
mDiffFit 38 fargate 90480 126735 127058 323 268 12 40 2 4
mProject 208 fargate 63172 106784 119708 12924 157 12569 192 2 4
mProject 417 fargate 70773 114546 127572 13026 131 12680 210 2 4
mProject 222 fargate 73232 117623 130712 13089 125 12771 190 2 4
mProject 223 fargate 73241 115750 128933 13183 256 12728 194 2 4
mProject 437 fargate 79055 115676 128405 12729 124 12442 160 2 4
mProject 211 fargate 80250 117877 130945 13068 122 12728 215 2 4
mProject 209 fargate 75786 121162 134091 12929 170 12541 215 2 4
mProject 418 fargate 78430 121308 134308 13000 136 12668 192 2 4
mProject 419 fargate 78823 121111 133960 12849 133 12523 189 2 4
mProject 420 fargate 78954 122305 135128 12823 121 12474 225 2 4
mDiffFit 45 fargate 90555 132761 133074 313 273 12 24 2 4
mDiffFit 32 fargate 90843 133801 134144 343 281 13 45 2 4
mProject 210 fargate 80243 123941 136920 12979 162 12645 168 2 4
mProject 212 fargate 80817 123780 136766 12986 132 12701 149 2 4
mProject 232 fargate 88501 124669 137726 13057 164 12688 202 2 4
mProject 235 fargate 88509 130938 143878 12940 199 12546 190 2 4
mProject 234 fargate 88507 132155 145233 13078 201 12687 184 2 4
mDiffFit 74 fargate 99399 142491 142842 351 284 29 35 2 4
mDiffFit 39 fargate 99399 141914 142222 308 247 17 40 2 4
mDiffFit 104 fargate 99398 143191 143494 303 254 16 29 2 4
mDiffFit 116 fargate 99786 143191 143541 350 291 18 37 2 4
mDiffFit 40 fargate 99910 143045 143353 308 249 15 40 2 4
mDiffFit 31 fargate 100532 144322 144642 320 265 13 39 2 4
mProject 213 fargate 89736 132871 145909 13038 141 12700 194 2 4
