task id resource start end time downloaded executed uploaded type
mBackground 30 256 9166 10693 1527 600 321 606 sdbcs
mBackground 31 256 9180 10687 1507 570 321 616 sdbcs
mBackground 32 256 9184 10795 1611 640 303 668 sdbcs
mBackground 36 256 9155 10830 1675 520 443 712 sdbcs
mBackground 35 256 9155 10899 1744 630 324 790 sdbcs
mBackground 39 256 9141 10880 1739 639 323 777 sdbcs
mBackground 37 256 9191 10957 1766 720 323 723 sdbcs
mBackground 33 256 9163 11274 2111 860 322 929 sdbcs
mBackground 34 256 9179 11633 2454 1374 302 778 sdbcs
mImgtbl 40 256 11754 17289 5535 5039 301 195 sdbcs
mAdd 41 512 17616 21542 3926 2319 520 1087 sdbcs
mShrink 42 256 21815 23394 1579 479 462 638 sdbcs
mJPEG 43 512 23615 24995 1380 378 804 198 sdbcs
