task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 230 lambda-128 13431 159204 145773 1615849074865 1615849113774 38909 106 38580 223 lambda-128
ellipsoids-openmp 224 lambda-128 13427 159211 145784 1615849069888 1615849099503 29615 100 29280 235 lambda-128
ellipsoids-openmp 232 lambda-128 13433 159232 145799 1615849078747 1615849118079 39332 116 38981 235 lambda-128
ellipsoids-openmp 233 lambda-128 13434 159251 145817 1615849071593 1615849109883 38290 156 37924 210 lambda-128
ellipsoids-openmp 29 lambda-128 13217 159377 146160 1615849076335 1615849106164 29829 75 29519 235 lambda-128
ellipsoids-openmp 237 lambda-128 13437 159383 145946 1615849075435 1615849112847 37412 134 37061 217 lambda-128
ellipsoids-openmp 240 lambda-128 13439 159462 146023 1615849077955 1615849117965 40010 109 39661 240 lambda-128
ellipsoids-openmp 262 lambda-128 13456 159654 146198 1615849090532 1615849123049 32517 760 31440 317 lambda-128
ellipsoids-openmp 268 lambda-128 13460 159671 146211 1615849081857 1615849110333 28476 105 28180 191 lambda-128
ellipsoids-openmp 256 lambda-128 13452 159599 146147 1615849083317 1615849122270 38953 89 38660 204 lambda-128
ellipsoids-openmp 282 lambda-128 13469 159942 146473 1615849093865 1615849124169 30304 67 30037 200 lambda-128
ellipsoids-openmp 289 lambda-128 13474 160140 146666 1615849084500 1615849115572 31072 81 30781 210 lambda-128
ellipsoids-openmp 273 lambda-128 13463 159978 146515 1615849083998 1615849125380 41382 474 40702 206 lambda-128
ellipsoids-openmp 359 lambda-128 13524 159720 146196 1615849090978 1615849120931 29953 107 29640 206 lambda-128
ellipsoids-openmp 285 lambda-128 13471 160148 146677 1615849088647 1615849119888 31241 781 30161 299 lambda-128
ellipsoids-openmp 297 lambda-128 13480 160362 146882 1615849093588 1615849123696 30108 81 29801 226 lambda-128
ellipsoids-openmp 303 lambda-128 13485 160399 146914 1615849086136 1615849123332 37196 99 36881 216 lambda-128
ellipsoids-openmp 283 lambda-128 13470 160301 146831 1615849084330 1615849115549 31219 98 30941 180 lambda-128
ellipsoids-openmp 337 lambda-128 13510 160792 147282 1615849088248 1615849123854 35606 740 34561 305 lambda-128
ellipsoids-openmp 300 lambda-128 13482 160408 146926 1615849085476 1615849122724 37248 110 36902 236 lambda-128
ellipsoids-openmp 114 lambda-128 13316 161258 147942 1615849035053 1615849071422 36369 740 35359 270 lambda-128
ellipsoids-openmp 354 lambda-128 13521 161187 147666 1615849087781 1615849124780 36999 63 36660 276 lambda-128
ellipsoids-openmp 121 lambda-128 13321 161327 148006 1615849036351 1615849070922 34571 100 34242 229 lambda-128
ellipsoids-openmp 139 lambda-128 13334 161395 148061 1615849041118 1615849077197 36079 799 34940 340 lambda-128
